target_id,fullname,pgmtl9_rmse,pb0_rmse,rmse_pred_mean,rmse_pred_lower,max_depth,surface_area,K_d,SDF,latitude,longitude,sw_mean,sw_std,lw_mean,lw_std,at_mean,at_std,rh_mean,rh_std,ws_mean,ws_std,rain_mean,rain_std,snow_mean,snow_std,sw_mean_sp,sw_std_sp,lw_mean_sp,lw_std_sp,at_mean_sp,at_std_sp,rh_mean_sp,rh_std_sp,ws_mean_sp,ws_std_sp,rain_mean_sp,rain_std_sp,snow_mean_sp,snow_std_sp,sw_mean_su,sw_std_su,lw_mean_su,lw_std_su,at_mean_su,at_std_su,rh_mean_su,rh_std_su,ws_mean_su,ws_std_su,rain_mean_su,rain_std_su,snow_mean_su,snow_std_su,sw_mean_au,sw_std_au,lw_mean_au,lw_std_au,at_mean_au,at_std_au,rh_mean_au,rh_std_au,ws_mean_au,ws_std_au,rain_mean_au,rain_std_au,snow_mean_au,snow_std_au,sw_mean_wi,sw_std_wi,lw_mean_wi,lw_std_wi,at_mean_wi,at_std_wi,rh_mean_wi,rh_std_wi,ws_mean_wi,ws_std_wi,rain_mean_wi,rain_std_wi,snow_mean_wi,snow_std_wi,n_obs,n_prof,n_obs_wi,n_obs_sp,n_obs_su,n_obs_au,obs_depth_mean_frac,obs_temp_mean,obs_temp_std,obs_temp_skew,obs_temp_kurt,zero_temp_doy,at_amp,lathrop_strat,glm_strat_perc,ws_sp_mix
nhdhr_143250615,Clear Lake,1.557339771,5.611701491,2.31687677,2.002015326,6.096,313479.975,0.7656833,1.154903429,42.7994272,-88.97948558,167.4363668,82.79509535,302.5343028,62.12882232,8.551457217,11.82120513,76.45252105,10.98673051,4.648478344,1.6283481,0.002316393344,0.006226669773,0.00219700835,0.01279948169,108.2571308,44.25105026,241.0005093,41.56706239,-5.239189381,6.711308175,84.17442402,9.167717623,4.891157161,1.664531693,0.000685980056,0.002904536532,0.006305625956,0.02075741241,222.9843245,67.40355577,316.8333756,44.0465484,12.37148267,7.161166788,72.16198117,9.808055401,4.842767944,1.695829362,0.003077320919,0.006763806566,0.0005113626744,0.006206552974,234.1141608,57.1031887,366.5279269,33.07173313,21.35269398,4.103194362,73.72151672,9.794598386,3.97105409,1.255621414,0.003480229659,0.008021256921,0,0,99.5986191,44.37562466,282.5582837,46.41215894,5.065650125,7.991896594,75.9422898,11.03775623,4.91705085,1.667515164,0.001953796794,0.005521430262,0.002093867908,0.01306057618,567,99,0,99,418,87,0.4161207653,21.61291391,4.500201888,-0.5271577671,-0.1777996504,334,16.41528219,0,0.6846949745,4.161798229
nhdhr_143251029,Delavan Lake,1.958292715,3.446612626,2.450321194,2.032196106,17.0688,7717083.579,0.5066653,3.413835103,42.60600497,-88.60871783,168.6050672,82.89161354,301.6576689,61.5931786,8.491888709,11.70467326,76.63106397,10.89778351,4.784009702,1.687747282,0.002369249457,0.006256951581,0.002527204609,0.0144917026,107.5977341,43.26892121,241.1392168,41.64728521,-5.123228791,6.67315056,84.27907698,9.029083664,5.084967549,1.729732683,0.0007783210813,0.003259179677,0.007480659733,0.02399481611,224.2256403,67.58150549,315.290566,44.20043169,12.13991038,7.223497883,72.49331448,9.91978889,4.986782327,1.738231084,0.003195249074,0.006972533104,0.0005453207879,0.007079758701,235.6492015,57.51212578,364.6860726,33.22715603,21.16370832,4.041043815,73.99609869,9.54346444,4.02167211,1.270522142,0.003414229738,0.007694885888,0,0,102.1589824,44.17741565,282.3601948,46.38415972,5.142588681,7.9602943,75.93638023,11.04790713,5.074403426,1.731320402,0.002024883996,0.005708555899,0.002222389146,0.01380678644,5964,623,763,1995,2292,1056,0.4553543181,13.85936783,7.132588109,-0.08462478088,-1.05006723,334,16.22425612,0,0.5111529159,4.244643692
nhdhr_143418975,Stump Lake,2.733453317,6.12972594,1.783961651,1.21188426,10.69551,17608329.72,0.9979905,2.632453703,47.87739508,-98.36128673,167.0920024,87.45025815,282.2376994,61.74597255,5.0527229,14.25928885,69.86314088,16.68791046,4.7991855,1.618060936,0.001256488836,0.004280605914,0.00167985843,0.0103211555,103.4175259,44.72236938,218.4411301,37.57425433,-11.77476833,7.863757876,85.96073643,7.457945439,4.571436547,1.520393518,4.92E-05,0.0005225976461,0.003587561891,0.01256487206,232.1800645,63.41989885,298.4244582,43.13445071,10.27008597,8.213720839,61.91034486,15.32077878,5.051862054,1.689266958,0.001767464053,0.004891161507,0.001035254242,0.01085664779,238.8115717,58.55698752,349.0134774,28.24929074,20.44262678,4.607643635,59.22919727,12.0395893,4.610267692,1.46894223,0.002460468009,0.005988543592,0,0,88.62562044,38.70575556,259.666311,42.80660568,0.4676679466,9.650638184,72.99278235,15.28017828,4.968454998,1.728829231,0.0006808747607,0.00295243702,0.002186057002,0.01216459506,680,100,167,322,424,253,0.8465768517,11.64451115,7.145117476,0.03911806324,-1.025756753,311,20.45637231,0,0.3237704918,4.790054761
nhdhr_145088870,Pickerel Lake,2.301547715,2.34747115,1.840592761,1.502851256,9.064176,4027426.013,0.9174425,2.285663323,45.50300727,-97.27431723,169.4113927,83.37018167,285.5836972,61.02465445,6.647301904,13.44659666,68.13339707,16.00243177,5.477708485,1.900031271,0.00144827359,0.004836068714,0.002109823708,0.01210964081,107.4313371,42.15765934,223.9029089,36.08486422,-8.866066085,7.650189903,82.1578805,10.14297079,5.532274623,1.883121761,9.13E-05,0.0007828076097,0.005150448112,0.01736054476,227.1531148,62.80781862,300.6438997,41.95740069,11.11603579,7.607224688,62.54672019,14.43730747,5.631393601,1.925962426,0.002123288892,0.005377048804,0.001147509016,0.0107914598,240.8073524,54.59118205,352.846446,29.99901907,21.4512229,4.656355508,58.60797716,12.70080359,5.028826052,1.704883745,0.002667487133,0.006670927558,0,0,97.16266728,39.39928146,261.5171582,41.749145,2.122524116,9.130079088,69.74844911,15.1901713,5.737614742,2.002631594,0.0008387268848,0.00376929322,0.00224980762,0.01268416984,850,80,0,408,774,14,0.6231365172,19.72763378,4.090704372,-0.6129177667,-0.2855240791,319,19.3186642,0,0.3894786348,5.201223535
nhdhr_147307413,Pipestem Lake,1.518730626,2.881532726,1.170041001,0.9080998908,4.62847,7910291.84,1.550256,4.176372023,46.97468293,-98.81202579,168.4548261,87.49319255,285.922518,61.41258974,6.307800794,13.92750995,68.51525356,16.90229566,5.030972319,1.693510291,0.001178963854,0.004178015895,0.001444355527,0.008566723951,102.6598938,42.20011955,223.4365146,36.5347633,-9.941522209,7.74319542,84.87735514,8.236728198,4.928380104,1.654543345,7.49E-05,0.0007692753035,0.003525444866,0.01174175853,233.2335285,64.78404155,301.6589911,42.6049274,11.17713082,7.877068922,61.5589265,14.87827476,5.255720085,1.754534417,0.00171890732,0.004999366376,0.0007620620372,0.009046067152,241.2476786,57.28301358,353.3497304,29.28388505,21.56010758,4.689524076,57.09010691,12.50597346,4.735260422,1.501792825,0.002241613935,0.00564859124,0,0,91.32474383,39.16081751,261.7996787,41.7605705,1.641588649,9.390510045,71.18228698,15.59708037,5.214999799,1.800825429,0.0006179947664,0.002910244994,0.001564971225,0.008352282103,430,63,17,278,509,48,1.069188937,17.8945892,4.913729722,-0.7997043414,0.6960739815,313,19.96689872,0,0.3660306369,4.951810965
nhdhr_151870593,Derby Lake,1.735457189,2.022439725,2.385506762,1.890599384,26.5176,459846.4275,0.2537313,1.259095734,43.27386869,-85.12761384,166.2648294,85.85812031,302.9882848,55.37556085,8.367786903,10.76215133,77.15674507,10.23043486,4.758090154,1.759810291,0.002155739347,0.00553863556,0.003081840403,0.01389480368,106.148324,46.31619861,249.6218866,36.73739195,-4.248408012,5.355853915,84.17232636,8.598976148,5.186480732,1.833195149,0.0007829402971,0.00312618133,0.009074531895,0.02241524385,225.9373651,70.62734712,311.3806098,43.40162811,11.32784385,6.959252454,73.18055206,9.451735987,4.761203027,1.754104182,0.002741492632,0.005885975245,0.0007858706264,0.008130227203,234.3037375,57.98085316,359.6738757,32.0044713,20.45347595,3.884398202,72.24863428,9.044147504,4.012950551,1.287979338,0.002787273458,0.006440867595,0,0,93.67626089,43.21447994,288.555168,40.30976843,5.335816722,6.806829979,79.33718034,8.911629944,5.10749578,1.864631636,0.002275213895,0.005803265708,0.002633731989,0.01275039269,2022,88,0,713,1296,13,0.4367248602,10.9531454,6.743258176,0.9622784204,-0.4326640134,339,15.25284311,1,0.8685837141,4.058120927
nhdhr_151948642,Lake Chetac,1.626530348,1.881545402,1.585862978,1.14313794,9.84252,9710796.197,1.124269,3.087604955,45.71069062,-91.4975703,161.8551182,82.30728846,285.9994397,60.22142074,5.146027229,12.43761282,78.43955144,10.31457889,4.661490063,1.651397722,0.002083131393,0.005955338032,0.003061711788,0.01499827166,103.9972758,46.64953094,224.6941298,39.58052968,-9.574576206,6.82768757,85.79754871,7.033939044,4.724624021,1.62550178,0.0001751371351,0.001470174431,0.007828382435,0.02318594558,220.923606,64.77523993,300.5292766,43.02839396,9.496191866,7.317739711,72.49660662,10.76937489,4.799464216,1.713315376,0.002758410341,0.006246105433,0.001341071052,0.01029742863,226.1871086,55.88770865,348.4896332,29.77382016,18.64973677,4.071470009,75.96407914,7.93557882,4.193754308,1.429363173,0.003701429088,0.007922770542,0,0,91.51589901,40.5004089,267.1410937,44.00086122,1.313227865,8.255264933,79.73652822,10.02721839,4.948861796,1.727730995,0.001610538149,0.005441087723,0.003240778023,0.01525091079,491,78,9,150,315,27,0.2830239271,18.78836327,5.724152384,-0.9287107893,-0.1155434742,314,17.4735698,0,0.3630072561,4.456046271
nhdhr_151949390,Red Cedar Lake,3.14178403,2.263684049,2.487231762,1.826100553,19.7,8981319.6,0.6868028,4.378874271,45.60230683,-91.58287744,162.2654176,82.57095709,288.4486727,60.74576851,5.694858749,12.48287613,77.88652759,10.61079585,4.670004342,1.657229428,0.002079272783,0.005863887529,0.002877030518,0.0144372394,103.6667462,45.25494937,226.690818,39.76929933,-9.049522113,6.862997064,85.73924334,7.107868424,4.730476242,1.63303991,0.0002062483248,0.001588438365,0.007597449188,0.02262297452,221.4257672,64.88913298,303.2736431,43.28166826,10.06417063,7.333160516,71.94775988,10.84993132,4.819850371,1.72498078,0.002777700428,0.006195865713,0.001091071052,0.009178686719,227.6040746,56.22393196,351.6336838,29.99278792,19.24914949,4.110471074,75.00034156,8.344958112,4.197683783,1.427513755,0.003645973771,0.007738030083,0,0,91.5192027,39.99415647,269.0102625,44.32729338,1.81295364,8.30726373,79.11134109,10.31323087,4.952645664,1.731592132,0.001601787395,0.005364148617,0.00297545903,0.0146583167,688,50,79,120,499,0,0.3599195671,14.667851,6.718822036,-0.3156811663,-0.9491542023,314,17.5271572,0,0.5486428379,4.471893441
nhdhr_151949888,Poskin Lake,2.513323321,3.318087098,2.329947574,2.086576592,9.144,621382.8628,1.349253,2.420686242,45.42872284,-91.97392744,163.4354837,81.83389252,289.9080596,61.29897022,6.094381344,12.58163417,77.06714428,11.21508871,4.820255167,1.686799032,0.002131748595,0.00604690511,0.002875965479,0.01510265077,108.4528711,45.83143976,227.7003804,39.81897679,-8.723298944,6.925279895,85.5525634,7.433592687,4.898368844,1.667160661,0.0002185474867,0.001567092595,0.007733058385,0.0237455644,220.9428366,64.81258553,304.9725348,43.46619882,10.49053026,7.354060133,71.2148982,11.19932548,4.987150326,1.763181641,0.002875057423,0.00641146386,0.00106003049,0.01025729168,227.8859099,56.71019887,354.0158521,30.18323992,19.77594353,4.172487831,73.52509314,9.155698946,4.317679862,1.442231389,0.00375280846,0.008137803899,0,0,91.66951754,39.91936156,269.7035597,44.6200036,2.124636946,8.405207951,78.25368487,10.90674357,5.099338773,1.75229401,0.001591194603,0.005273380874,0.002865670598,0.014821433,928,91,85,212,511,131,0.4103810107,15.37164004,6.394047895,-0.2898365798,-0.7108347013,319,17.68846292,0,0.7200349368,4.572871457
nhdhr_152335370,Devils Lake,1.571838236,2.938246113,2.37326327,1.925233546,19.2024,5309790.68,0.519084,1.839884708,41.98238877,-84.29122985,167.0894194,85.96976234,308.3556655,57.40458732,9.293156924,10.84643414,76.11699893,10.12626425,4.699121749,1.732357981,0.002280098746,0.005678386725,0.002551165611,0.01423316998,101.199296,42.77239357,253.6718503,39.06983392,-3.269184999,5.95261015,82.55028529,9.672997566,5.207597992,1.808033253,0.001083298947,0.00384639598,0.007848508113,0.02445136869,225.136493,70.69775794,319.1099902,44.23617883,12.52865144,7.071924434,72.44305053,9.140936724,4.786504733,1.708985848,0.002836607425,0.005937872038,0.000526790031,0.006457451534,236.9898967,57.93513622,366.2185331,32.71010797,21.10136223,3.78362822,73.2564282,8.454314122,3.814798038,1.236325042,0.002986528361,0.006795900111,0,0,100.0692646,47.20134219,291.5733449,43.0591726,6.214931811,7.244334078,76.41286449,9.974727245,5.027215162,1.779419246,0.002172241466,0.005460089988,0.001966887643,0.01192882467,1592,90,0,496,1061,76,0.4797480918,16.58830374,4.970989775,0.3928603248,-1.021886777,339,15.24662906,0,0.5942622951,3.952583133
