site_id,fullname,max_depth,surface_area,K_d,SDF,glm_uncal_rmse,latitude,longitude,sw_mean,sw_std,lw_mean,lw_std,at_mean,at_std,rh_mean,rh_std,ws_mean,ws_std,rain_mean,rain_std,snow_mean,snow_std,sw_mean_sp,sw_std_sp,lw_mean_sp,lw_std_sp,at_mean_sp,at_std_sp,rh_mean_sp,rh_std_sp,ws_mean_sp,ws_std_sp,rain_mean_sp,rain_std_sp,snow_mean_sp,snow_std_sp,sw_mean_su,sw_std_su,lw_mean_su,lw_std_su,at_mean_su,at_std_su,rh_mean_su,rh_std_su,ws_mean_su,ws_std_su,rain_mean_su,rain_std_su,snow_mean_su,snow_std_su,sw_mean_au,sw_std_au,lw_mean_au,lw_std_au,at_mean_au,at_std_au,rh_mean_au,rh_std_au,ws_mean_au,ws_std_au,rain_mean_au,rain_std_au,snow_mean_au,snow_std_au,sw_mean_wi,sw_std_wi,lw_mean_wi,lw_std_wi,at_mean_wi,at_std_wi,rh_mean_wi,rh_std_wi,ws_mean_wi,ws_std_wi,rain_mean_wi,rain_std_wi,snow_mean_wi,snow_std_wi,n_obs,n_prof,n_obs_wi,n_obs_sp,n_obs_su,n_obs_au,obs_depth_mean_frac,obs_temp_mean,obs_temp_std,obs_temp_skew,obs_temp_kurt,zero_temp_doy,at_amp,lathrop_strat,glm_strat_perc,ws_sp_mix
nhdhr_34130489,,1.7,156412.5533,1.294745,1.17292205,4.227076034,44.96981826,-93.38878062,164.681118,81.70067186,294.8971717,62.81500448,7.091679969,13.04327205,74.12252289,12.90560975,4.302605776,1.539926383,0.001975112575,0.006045301808,0.002341196197,0.01322184582,106.258744,42.4191216,230.3322893,39.08309194,-8.457308072,7.108086972,84.74989096,8.990422557,4.193507638,1.523999886,0.0001871840274,0.001285463449,0.00624486839,0.01986638321,220.3217174,66.19762792,311.3450706,43.66002423,11.96271115,7.390712328,67.40721302,11.89436743,4.618156069,1.617404173,0.002898521423,0.006814884255,0.0006486802782,0.007899191316,231.4314038,55.57311841,361.6135932,30.54582422,21.15078328,4.205448531,70.12383762,10.38637298,3.950523745,1.315499174,0.003492276468,0.008363084774,0,0,95.90360109,40.99814126,272.8975833,44.68740399,2.973823559,8.741577381,74.51162127,12.77866066,4.458903815,1.605102204,0.001231097178,0.004398244187,0.002605255686,0.01511967527,159,150,0,59,87,14,0.04558823529,21.591375,5.547694006,-0.5852529645,-0.3342798511,323,18.29793952,0,0.341171728,4.215316344
nhdhr_34130604,Cedar Lake,15.24,662845.4587,0.7953743,1.604769405,3.602663835,44.9599945,-93.32146186,164.8222386,81.4100044,295.8033365,62.86648945,7.227483163,13.03873988,74.25229561,12.75278375,4.299403538,1.540829367,0.001952792575,0.005954379814,0.002327369551,0.01320503649,107.1076114,42.37686538,231.2412927,39.24226568,-8.302912561,7.119594816,84.80310864,8.800395755,4.194842172,1.528167016,0.0002075625139,0.001379389995,0.006320913522,0.02029440107,220.1568558,65.9623667,312.1822573,43.6985831,12.06732096,7.397533873,67.69528897,11.79455383,4.612589009,1.617937526,0.002855742021,0.006602263511,0.0005849000529,0.007441742728,231.1948863,55.73584282,362.5080713,30.63741367,21.28798463,4.219047854,70.12298995,10.22233624,3.946238834,1.314003107,0.003417452672,0.008285400592,0,0,96.04223298,40.91611962,273.8845161,44.82622788,3.121542721,8.746109492,74.69333833,12.62114639,4.454689433,1.606012403,0.001242084407,0.004396911318,0.00253733516,0.01469020823,5404,352,330,1695,2712,757,0.4872582306,11.65765198,6.775299246,0.7687883487,-0.6422560875,323,18.28608528,0,0.2457000806,4.209838196
nhdhr_34131191,Powderhorn Lake,6.096,46088.97564,1.711738,1.405312884,5.000021057,44.94184937,-93.25700706,164.8222386,81.4100044,295.8033365,62.86648945,7.227483163,13.03873988,74.25229561,12.75278375,4.299403538,1.540829367,0.001952792575,0.005954379814,0.002327369551,0.01320503649,107.1076114,42.37686538,231.2412927,39.24226568,-8.302912561,7.119594816,84.80310864,8.800395755,4.194842172,1.528167016,0.0002075625139,0.001379389995,0.006320913522,0.02029440107,220.1568558,65.9623667,312.1822573,43.6985831,12.06732096,7.397533873,67.69528897,11.79455383,4.612589009,1.617937526,0.002855742021,0.006602263511,0.0005849000529,0.007441742728,231.1948863,55.73584282,362.5080713,30.63741367,21.28798463,4.219047854,70.12298995,10.22233624,3.946238834,1.314003107,0.003417452672,0.008285400592,0,0,96.04223298,40.91611962,273.8845161,44.82622788,3.121542721,8.746109492,74.69333833,12.62114639,4.454689433,1.606012403,0.001242084407,0.004396911318,0.00253733516,0.01469020823,2212,317,131,747,1179,316,0.5290143489,17.73024863,7.112596691,-0.4871577093,-0.8065477014,323,18.28608528,0,0.3992878259,4.209838196
nhdhr_34131278,Dutch Lake,12.8016,698988.0465,1.297836,1.603080236,3.157332562,44.94398734,-93.68054171,166.2971082,82.09694555,294.4162,62.93113482,7.039791287,13.06516385,73.94237087,13.13066036,4.408908413,1.57099985,0.001954706318,0.005846563151,0.002347225442,0.01333078397,107.6957447,42.5656105,229.6843497,39.01154933,-8.552901442,7.100100719,84.68632516,9.204521729,4.308600621,1.550220919,0.0001773116219,0.001236468573,0.00614926892,0.01965630502,223.0082792,66.67294374,311.0057155,43.75916335,11.95689436,7.393684383,67.04538899,12.0709495,4.726054714,1.64828499,0.002903950825,0.006710306881,0.0006888913041,0.0082200524,232.3747521,56.42594381,361.3100051,30.54691976,21.11233895,4.191782508,70.07478112,10.63778844,4.034627167,1.345134175,0.00343578469,0.007969570758,0,0,97.30485504,41.08129431,272.2521741,44.65987087,2.904425876,8.74992971,74.26258893,13.01892833,4.578089808,1.638131717,0.001211416115,0.004257080839,0.002685368044,0.01563293283,1636,125,0,579,853,227,0.4803606715,13.77103074,5.710202102,0.7361214579,-0.4790725384,323,18.33612596,0,0.2391158291,4.314871185
nhdhr_34131807,,9.144,463821.0818,1.118421,1.614056077,5.326356278,44.92231257,-93.52921615,165.6120489,81.90945247,294.5708858,62.87970827,7.059336822,13.04773961,73.97751073,13.07029483,4.312831865,1.540068687,0.001990604075,0.006076638475,0.002426123274,0.01379678969,106.6282534,42.00514266,229.9290225,39.0525081,-8.504044668,7.100524844,84.6667889,9.199258213,4.196353822,1.519600712,0.00018118273,0.00126372798,0.00638089514,0.02036710799,221.7625461,66.60680675,311.0873695,43.73302564,11.9554191,7.384580351,67.13156195,12.01787726,4.632677541,1.618275966,0.002938732002,0.00688186651,0.0007129888665,0.008789471255,232.1481046,55.91736934,361.387468,30.56227833,21.11901904,4.195991667,70.0879777,10.56767944,3.96317288,1.319186637,0.003512021564,0.008360340227,0,0,97.10298064,41.2434762,272.4726699,44.65654697,2.929568091,8.738277383,74.32359184,12.95017609,4.469613614,1.604894346,0.001238336996,0.004461815976,0.002749380652,0.01598873171,789,102,0,288,401,101,0.3666442407,17.85802532,5.73498822,-0.295250279,-0.8145365059,323,18.31289916,0,0.3169174953,4.229216454
nhdhr_37648633,Crystal Lake,10.9728,1165822.579,0.8530636,2.446951561,4.381892627,44.72211086,-93.26664605,165.8110896,81.61741771,295.6101629,62.7187534,7.184020419,13.07674058,74.38168878,12.92219886,4.248559895,1.545582914,0.002003215554,0.005994182481,0.002406749452,0.01372017605,110.3342339,44.76070216,231.1757676,39.15427246,-8.394770951,7.24127584,85.01797755,8.90827739,4.199718574,1.546043292,0.0002040849735,0.001375848329,0.006470906221,0.02084406813,220.6001742,65.92311534,312.1512149,43.65391866,12.05334955,7.463975199,67.89103355,11.94562745,4.526213156,1.612017691,0.002940635686,0.006624514012,0.0006134840953,0.007425066142,231.6810288,56.6366347,361.9233381,30.70374603,21.17654521,4.266046659,70.58327633,10.54445218,3.845426881,1.292335463,0.003525578051,0.008318140239,4.60E-06,0.0002857897908,95.85690857,41.55784973,273.807871,44.84716556,3.168462198,8.847597893,74.31799042,12.90186651,4.436852421,1.625513682,0.001250584519,0.004462474588,0.002676600717,0.01577377182,1651,338,52,505,921,177,0.3654199255,17.36252568,5.743335944,-0.3277574537,-0.438687966,323,18.32885934,0,0.1578204784,4.123215914
nhdhr_45337711,Lake Ardmore,6.096,53768.93232,2.592901,1.170734761,4.241246606,45.03362284,-93.63672228,166.4119403,82.53646972,293.6981814,62.8632878,6.898267107,13.04563891,74.04101452,13.18273597,4.597211223,1.62837868,0.001925472215,0.005725039945,0.00241539239,0.01360643447,107.4063015,43.23781624,229.049329,38.97071309,-8.676222025,7.05412125,84.67374217,9.394018714,4.532503985,1.61421727,0.0001659537028,0.001196760378,0.006279795409,0.02000959756,223.1611698,67.39541193,310.2821887,43.71315972,11.82791179,7.373949267,66.99664202,12.12623045,4.892327013,1.703903263,0.002856273173,0.006534215076,0.0007141423674,0.008141838752,232.5802237,57.26186545,360.5279673,30.50221795,20.97304168,4.170962275,70.24504966,10.71227136,4.200014804,1.401732411,0.003380905736,0.007777652288,0,0,97.69453981,41.20940907,271.523307,44.60253172,2.729127301,8.701418154,74.55072384,13.0073301,4.777270149,1.694743758,0.001210206797,0.004274565762,0.002806662924,0.01615440264,535,112,8,197,303,61,0.4663174792,13.21035149,6.820189184,0.5058625071,-0.9234064287,323,18.30926063,0,0.3200080623,4.473977595
nhdhr_45385910,Pearl Lake,5.4864,3019958.992,0.9227016,1.034361326,2.492405068,45.39894609,-94.30639903,166.8828627,83.03677993,290.9224567,62.23326503,6.6553496,13.05567029,73.41358898,13.34255521,4.280254318,1.552497754,0.001824464449,0.005524621973,0.002346806548,0.01324164802,108.3258825,44.37501195,227.167187,38.60775961,-8.767140028,7.193673489,84.67310158,8.721022412,4.159785994,1.551636137,0.0001631048646,0.001245220248,0.006170004872,0.02021541544,224.6237274,66.2907849,307.088202,43.82279101,11.4310944,7.544378302,65.9693416,12.99209431,4.617398653,1.629034811,0.002659200877,0.006186011307,0.0007202550398,0.007334130373,233.8996459,56.70158932,357.1211513,29.91761174,20.76141407,4.235471711,68.85846049,9.768229589,3.943640359,1.310830359,0.003232925898,0.00748608861,0,0,95.78930337,40.51814742,268.9404173,44.1538866,2.458125634,8.759499049,74.50292022,13.01380428,4.409422466,1.620321157,0.001158581804,0.004347710977,0.002630202252,0.01504283355,6254,1333,1531,1898,2262,1743,0.5676013368,12.99824321,8.345287793,0.05893492436,-1.552417303,320,18.21421539,0,0.1352459016,4.219621079
nhdhr_45722930,Cedar Lake,26.5176,972339.8826,0.4294661,1.506230561,2.652387492,45.81404677,-94.63569264,166.9150919,82.88370179,288.2624039,62.07811188,6.127534932,13.13189168,73.46337225,13.21087784,4.781914009,1.625429068,0.001740033109,0.005323468014,0.002278658765,0.01288121277,108.6404375,44.3686765,224.5466963,38.32435821,-9.381924301,7.243606728,84.55232478,8.569292093,4.703205485,1.588990612,0.0001427562974,0.001149761186,0.005714892975,0.01890367107,225.1245068,65.4083104,304.331475,43.47865281,10.93357755,7.536204747,66.27992882,12.83054436,5.044170994,1.695438436,0.002568926538,0.006145057441,0.0009813788461,0.01026515501,233.9510252,56.21147411,354.6603651,29.54388221,20.36205623,4.227637003,68.42230377,9.800511077,4.443360597,1.449821452,0.003025523924,0.007010647564,0,0,95.03069119,39.72516967,266.1297207,43.82702293,1.851503497,8.766173695,74.96929229,12.77164957,4.948198754,1.693181472,0.001145091094,0.004317447958,0.002542080018,0.01380345962,2253,517,107,552,1272,358,0.2748774891,12.98579729,7.348186345,0.2752431579,-1.195824616,319,18.37567359,1,0.6440472991,4.678635783
nhdhr_45728298,Lake Caroline,13.4112,529988.3964,0.9989611,1.950650037,4.643480754,45.31770003,-94.19648824,167.6407095,82.58337026,292.2000049,62.42451562,6.830294372,13.05530849,73.56488593,13.29520664,4.478875401,1.597790307,0.001823827099,0.005500813718,0.002309472791,0.01322650268,110.2365866,45.54470991,228.0316331,38.54410591,-8.669215865,7.109351772,84.7854056,8.800673499,4.387380048,1.578253501,0.0001644055404,0.001227659491,0.006162709465,0.02017093039,225.5238222,65.53048388,308.6611457,43.74936902,11.68542847,7.493616564,66.09970869,12.70567712,4.791528704,1.677051385,0.002674625638,0.006218028797,0.0006263910395,0.006789044054,233.3525278,56.6985599,358.6372454,29.94045055,20.92434726,4.19093357,69.32241225,10.02193338,4.10639506,1.372562765,0.003220737493,0.007436969486,0,0,96.60941478,40.51201018,270.0795409,44.20984888,2.641788537,8.736318891,74.38517078,13.00225261,4.641863555,1.665388001,0.001151575803,0.004270486774,0.002581414915,0.0153030616,1763,132,221,422,973,221,0.4984085645,12.29359826,7.252221233,0.2603856232,-1.156231961,322,18.26410811,0,0.1616500941,4.38418994
