target_id,source_id,pb-mtl_rmse,predicted_rmse,spearman,meta_rmse,pb0_rmse,pgmtl_improvement
nhdhr_143249522,nhdhr45722930,2.547106393,2.189990711,0.9097779877,0.8004354687,1.97964354,-0.5674628531
nhdhr_166867852,nhdhr141288680,2.838444303,2.074892815,0.9606794206,0.6874915781,2.275746617,-0.5626976856
nhdhr_74927813,nhdhr151949699,4.457417114,1.516062953,0.251562746,1.560513903,3.924249769,-0.5331673458
nhdhr_86273851,nhdhr74924599,2.788161708,2.056296985,0.8521020312,0.6512102062,2.271867873,-0.5162938352
nhdhr_141288146,nhdhr143416561,2.395505646,0.2255923222,0.753987561,1.005383223,1.915748093,-0.4797575528
nhdhr_69884058,nhdhr120018114,4.134209369,1.5992098,0.6724925209,1.959807735,3.656857419,-0.4773519499
nhdhr_74926805,nhdhr143249413,3.01151311,2.682164769,0.8983112896,1.908265052,2.560806848,-0.4507062619
nhdhr_74926703,nhdhr139269431,2.825710612,2.247334328,0.7760588884,0.8494269231,2.375218868,-0.4504917441
nhdhr_91690679,nhdhr91685475,3.069531368,2.955130966,0.9533656117,1.123760808,2.637495605,-0.4320357631
nhdhr_151949888,nhdhr45722930,2.770228829,2.218690948,0.7187686978,0.9162606893,2.354726204,-0.4155026246
nhdhr_82819600,nhdhr120020199,3.920587639,1.658014769,0.7970201543,2.428689539,3.518590261,-0.4019973777
nhdhr_91595965,nhdhr120018071,3.242831952,3.374955083,0.9496693434,1.458000628,2.841605794,-0.4012261582
nhdhr_91684449,nhdhr81002103,3.298057436,1.939034026,0.5412415368,1.140576955,2.904492719,-0.3935647173
nhdhr_69885902,nhdhr120018114,3.001162512,1.486299848,0.7528578177,0.8816858676,2.628857836,-0.3723046761
nhdhr_91595755,nhdhr91685475,2.879065577,2.991102612,0.9425366084,1.232710376,2.51254794,-0.3665176376
nhdhr_47480235,nhdhr91691877,2.699926061,2.720005692,0.8681506849,0.9570032312,2.333622852,-0.3663032098
nhdhr_32672239,nhdhr143396594,2.708898854,-0.6469149976,0.3364430798,0.9547750901,2.372776354,-0.3361224998
